,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
145,2_2025-11-16_2025-10-04,UA,IAH,LAX,2025-11-16 05:42:00,2025-11-16 07:30:00,77.56,['2431'],2025-11-16,2025-10-04
146,2_2025-11-16_2025-10-05,UA,IAH,LAX,2025-11-16 05:42:00,2025-11-16 07:30:00,77.56,['2431'],2025-11-16,2025-10-05
147,2_2025-11-17_2025-10-03,UA,IAH,LAX,2025-11-17 14:30:00,2025-11-17 16:15:00,116.24,['1945'],2025-11-17,2025-10-03
148,2_2025-11-17_2025-10-04,UA,IAH,LAX,2025-11-17 14:30:00,2025-11-17 16:15:00,116.26,['1945'],2025-11-17,2025-10-04
149,2_2025-11-17_2025-10-05,UA,IAH,LAX,2025-11-17 14:30:00,2025-11-17 16:15:00,116.26,['1945'],2025-11-17,2025-10-05
150,2_2025-11-18_2025-10-03,UA,IAH,LAX,2025-11-18 09:40:00,2025-11-18 11:25:00,107.64,['469'],2025-11-18,2025-10-03
151,2_2025-11-18_2025-10-04,UA,IAH,LAX,2025-11-18 09:40:00,2025-11-18 11:25:00,77.56,['469'],2025-11-18,2025-10-04
152,2_2025-11-18_2025-10-05,UA,IAH,LAX,2025-11-18 09:40:00,2025-11-18 11:25:00,77.56,['469'],2025-11-18,2025-10-05
153,2_2025-11-19_2025-10-03,UA,IAH,LAX,2025-11-19 09:40:00,2025-11-19 11:25:00,107.64,['469'],2025-11-19,2025-10-03
154,2_2025-11-19_2025-10-04,UA,IAH,LAX,2025-11-19 12:00:00,2025-11-19 13:45:00,77.56,['2460'],2025-11-19,2025-10-04
155,2_2025-11-19_2025-10-05,UA,IAH,LAX,2025-11-19 12:00:00,2025-11-19 13:45:00,77.56,['2460'],2025-11-19,2025-10-05
156,2_2025-11-20_2025-10-03,F9,IAH,LAX,2025-11-20 10:56:00,2025-11-20 12:42:00,161.39,['1755'],2025-11-20,2025-10-03
157,2_2025-11-20_2025-10-04,F9,IAH,LAX,2025-11-20 10:56:00,2025-11-20 12:42:00,161.41,['1755'],2025-11-20,2025-10-04
158,2_2025-11-20_2025-10-05,F9,IAH,LAX,2025-11-20 10:56:00,2025-11-20 12:42:00,160.34,['1755'],2025-11-20,2025-10-05
159,2_2025-11-21_2025-10-03,AS,IAH,ONT,2025-11-21 07:35:00,2025-11-21 15:12:00,182.56,"['453', '1118']",2025-11-21,2025-10-03
160,2_2025-11-21_2025-10-04,AS,IAH,ONT,2025-11-21 07:35:00,2025-11-21 15:12:00,182.59,"['453', '1118']",2025-11-21,2025-10-04
161,2_2025-11-21_2025-10-05,AS,IAH,ONT,2025-11-21 07:35:00,2025-11-21 15:12:00,182.59,"['453', '1118']",2025-11-21,2025-10-05
162,2_2025-11-22_2025-10-03,F9,IAH,ONT,2025-11-22 06:45:00,2025-11-22 11:25:00,189.01,"['3229', '1261']",2025-11-22,2025-10-03
163,2_2025-11-22_2025-10-04,F9,IAH,ONT,2025-11-22 06:45:00,2025-11-22 11:25:00,190.12,"['3229', '1261']",2025-11-22,2025-10-04
164,2_2025-11-22_2025-10-05,F9,IAH,ONT,2025-11-22 06:45:00,2025-11-22 11:25:00,190.12,"['3229', '1261']",2025-11-22,2025-10-05
165,2_2025-11-23_2025-10-03,F9,IAH,ONT,2025-11-23 14:40:00,2025-11-23 16:19:00,182.89,['3131'],2025-11-23,2025-10-03
166,2_2025-11-23_2025-10-04,F9,IAH,ONT,2025-11-23 14:40:00,2025-11-23 16:19:00,182.91,['3131'],2025-11-23,2025-10-04
167,2_2025-11-23_2025-10-05,F9,IAH,ONT,2025-11-23 14:40:00,2025-11-23 16:19:00,182.91,['3131'],2025-11-23,2025-10-05
168,2_2025-11-24_2025-10-03,UA,IAH,LAX,2025-11-24 21:35:00,2025-11-24 23:21:00,107.64,['434'],2025-11-24,2025-10-03
169,2_2025-11-24_2025-10-04,UA,IAH,LAX,2025-11-24 21:35:00,2025-11-24 23:21:00,107.66,['434'],2025-11-24,2025-10-04
170,2_2025-11-24_2025-10-05,UA,IAH,LAX,2025-11-24 21:35:00,2025-11-24 23:21:00,107.66,['434'],2025-11-24,2025-10-05
171,2_2025-11-25_2025-10-03,F9,IAH,LAX,2025-11-25 10:56:00,2025-11-25 12:42:00,157.09,['1755'],2025-11-25,2025-10-03
